Make;Model;Manufacturing Year;Fuel Type;Engine Power (HP);Mileage (km);Number of Accidents;Market Value ($);Total Owners;Has Dashcam;Vehicles in Family;Driving Experience;AGE;HOMEKIDS;EMPLOYED;INCOME;MSTATUS;GENDER;TRAVTIME;BLUEBOOK;TIF;CAR_TYPE;RED_CAR;OLDCLAIM;CLM_FREQ;REVOKED;MVR_PTS;CLM_AMT;CAR_AGE;CLAIM_FLAG;Liability Insurance;Theft Insurance;Premium Insurance;Repair Insurance;Premium Repair Insurance
Honda;Civic;2020;Hybrid;202;40594;0;21440;1;FALSE;4;3;60;0;TRUE;67349;TRUE;M;14;$14,230;11;Minivan;yes;$4,461;2;No;3;0;18;0;1011,2;715,4;1011,68;651;1079,2
BMW;X3;2023;Diesel;431;5000;0;49166;1;TRUE;3;1;43;0;TRUE;91449;FALSE;M;22;$14,940;1;Minivan;yes;$0;0;No;0;0;1;0;1507,83;1057,16;1238,962;665,5;1306,83
Volkswagen;Golf;2019;Electric;144;53310;0;18669;1;TRUE;2;2;48;0;TRUE;52881;FALSE;M;26;$21,970;1;Van;yes;$0;0;No;2;0;10;0;781,345;508,69;845,883;622;1007,345
Chevrolet;Malibu;2022;Hybrid;314;13355;0;27164;1;TRUE;3;2;35;1;TRUE;16039;TRUE;F;5;$4,010;4;SUV;no;$38,690;2;No;3;0;10;0;1213,82;678,64;1041,348;757;1289,82
Tesla;Model 3;2018;Electric;395;73409;0;25265;1;TRUE;4;2;51;0;TRUE;;TRUE;M;32;$15,440;7;Minivan;yes;$0;0;No;0;0;6;0;1316,325;700,15;1092,855;647,5;1151,325
Nissan;Altima;2023;Electric;279;7162;0;29283;1;TRUE;3;1;50;0;FALSE;114986;TRUE;F;36;$18,000;1;SUV;no;$19,217;2;Yes;3;0;17;0;1104,415;682,33;1028,181;689,5;1195,415
Nissan;Altima;2002;Petrol;165;314310;0;2000;4;FALSE;3;13;34;1;TRUE;125301;FALSE;F;46;$17,430;1;Sports Car;no;$0;0;No;0;2946;7;1;890;502,5;846;582,5;875
Nissan;Pathfinder;2012;Petrol;217;165652;0;2000;1;TRUE;1;3;54;0;FALSE;18755;TRUE;F;33;$8,780;1;SUV;no;$0;0;No;0;0;1;0;844;478,5;737,6;558,5;857
Ford;Explorer;2021;Diesel;447;34731;0;23526;1;TRUE;5;1;40;1;TRUE;50815;FALSE;M;21;$18,930;6;Minivan;no;$3,295;1;No;2;6477;1;1;1461,63;808,76;1072,282;723,5;1264,63
Tesla;Model 3;2000;Electric;470;341158;0;2000;3;FALSE;1;8;44;2;TRUE;43486;FALSE;F;30;$5,900;10;SUV;no;$0;0;No;0;0;10;0;1550;655;1090;885;1390
Tesla;Model 3;2023;Electric;780;5000;0;49166;1;FALSE;5;1;37;2;FALSE;107961;TRUE;M;44;$16,970;1;Van;yes;$2,374;1;Yes;10;4021;7;1;2405,83;1281,66;1668,162;940;1795,83
Honda;Civic;2013;Diesel;133;152771;0;2000;4;TRUE;5;9;34;0;TRUE;62978;FALSE;F;34;$11,200;1;SUV;no;$0;0;No;0;2501;1;1;676;436,5;670,4;516,5;773
Honda;CR-V;2019;Diesel;260;63322;0;17667;1;TRUE;3;2;50;0;TRUE;106952;FALSE;M;48;$18,510;7;Van;no;$0;0;No;1;0;17;0;1008,335;556,67;931,669;680;1118,335
Ford;F-150;2020;Hybrid;262;51961;0;20303;1;FALSE;4;3;53;0;TRUE;77100;FALSE;F;15;$18,300;1;Sports Car;no;$0;0;No;0;6077;11;1;1125,515;734,03;1051,721;681;1133,515
Tesla;Model 3;2016;Electric;379;99071;0;15988;1;TRUE;1;6;43;0;TRUE;52642;TRUE;F;36;$22,420;7;Minivan;no;$0;0;No;0;0;1;0;1237,94;699,38;965,116;639,5;1088,94
Tesla;Model Y;2019;Electric;326;64367;0;29272;1;TRUE;5;3;55;0;TRUE;59162;TRUE;M;25;$17,600;7;Van;yes;$5,028;2;Yes;3;0;9;0;1198,36;705,72;1065,704;713;1242,36
Chevrolet;Malibu;2021;Diesel;420;33598;0;23640;1;TRUE;2;2;53;0;TRUE;130795;FALSE;M;64;$28,340;6;Panel Truck;yes;$0;0;No;3;1267;10;1;1358,2;696,4;1101,48;760;1308,2
Honda;Accord;2021;Electric;203;34790;0;23521;1;TRUE;2;3;35;2;FALSE;21204;FALSE;M;74;$9,230;6;Pickup;no;$0;0;Yes;0;0;4;0;1023,605;686,71;877,047;651,5;1090,605
Honda;Civic;2001;Diesel;161;324696;2;2000;4;FALSE;4;6;45;0;TRUE;0;TRUE;F;48;$6,000;1;SUV;no;$0;0;No;3;2920;5;1;1232;700,5;1242,8;730,5;1081
BMW;X5;2010;Petrol;468;192897;1;2000;2;FALSE;4;6;39;3;TRUE;51884;FALSE;F;43;$10,590;6;SUV;no;$0;0;No;0;0;13;0;1796;754;1288,4;1034;1598
Ford;Escape;2023;Hybrid;355;5000;0;29500;1;TRUE;5;1;59;0;TRUE;87460;FALSE;M;45;$15,420;1;Minivan;yes;$44,857;2;No;4;4111;1;1;1257,5;822,5;1040,5;627,5;1132,5
