Make;Model;Manufacturing Year;Fuel Type;Engine Power (HP);Mileage (km);Number of Accidents;Market Value ($);Total Owners;Has Dashcam;Vehicles in Family;Driving Experience;ID;FIRST_NAME;LAST_NAME;AGE;HOMEKIDS;EMPLOYED;INCOME;MSTATUS;GENDER;TRAVTIME;BLUEBOOK;TIF;CAR_TYPE;RED_CAR;OLDCLAIM;CLM_FREQ;REVOKED;MVR_PTS;CLM_AMT;CAR_AGE;CLAIM_FLAG
Honda;Civic;2020;Hybrid;202;40594;0;21440;1;FALSE;4;3;63581743;;;60;0;TRUE;$67,349;TRUE;M;14;$14,230;11;Minivan;yes;$4,461;2;No;3;$0;18;0
BMW;X3;2023;Diesel;431;5000;0;49166;1;TRUE;3;1;132761049;;;43;0;TRUE;$91,449;FALSE;M;22;$14,940;1;Minivan;yes;$0;0;No;0;$0;1;0
Volkswagen;Golf;2019;Electric;144;53310;0;18669;1;TRUE;2;2;921317019;;;48;0;TRUE;$52,881;FALSE;M;26;$21,970;1;Van;yes;$0;0;No;2;$0;10;0
Chevrolet;Malibu;2022;Hybrid;314;13355;0;27164;1;TRUE;3;2;727598473;;;35;1;TRUE;$16,039;TRUE;F;5;$4,010;4;SUV;no;$38,690;2;No;3;$0;10;0
Tesla;Model 3;2018;Electric;395;73409;0;25265;1;TRUE;4;2;450221861;;;51;0;TRUE;;TRUE;M;32;$15,440;7;Minivan;yes;$0;0;No;0;$0;6;0
Nissan;Altima;2023;Electric;279;7162;0;29283;1;TRUE;3;1;743146596;;;50;0;FALSE;$114,986;TRUE;F;36;$18,000;1;SUV;no;$19,217;2;Yes;3;$0;17;0
Nissan;Altima;2002;Petrol;165;314310;0;2000;4;FALSE;3;13;871024631;;;34;1;TRUE;$125,301;FALSE;F;46;$17,430;1;Sports Car;no;$0;0;No;0;$2,946;7;1
Nissan;Pathfinder;2012;Petrol;217;165652;0;2000;1;TRUE;1;3;792300541;;;54;0;FALSE;$18,755;TRUE;F;33;$8,780;1;SUV;no;$0;0;No;0;$0;1;0
Ford;Explorer;2021;Diesel;447;34731;0;23526;1;TRUE;5;1;7945239;;;40;1;TRUE;$50,815;FALSE;M;21;$18,930;6;Minivan;no;$3,295;1;No;2;$6,477;1;1
Tesla;Model 3;2000;Electric;470;341158;0;2000;3;FALSE;1;8;3577610;;;44;2;TRUE;$43,486;FALSE;F;30;$5,900;10;SUV;no;$0;0;No;0;$0;10;0
Tesla;Model 3;2023;Electric;780;5000;0;49166;1;FALSE;5;1;892208080;;;37;2;FALSE;$107,961;TRUE;M;44;$16,970;1;Van;yes;$2,374;1;Yes;10;$4,021;7;1
Honda;Civic;2013;Diesel;133;152771;0;2000;4;TRUE;5;9;77382913;;;34;0;TRUE;$62,978;FALSE;F;34;$11,200;1;SUV;no;$0;0;No;0;$2,501;1;1
Honda;CR-V;2019;Diesel;260;63322;0;17667;1;TRUE;3;2;856886560;;;50;0;TRUE;$106,952;FALSE;M;48;$18,510;7;Van;no;$0;0;No;1;$0;17;0
Ford;F-150;2020;Hybrid;262;51961;0;20303;1;FALSE;4;3;308455362;;;53;0;TRUE;$77,100;FALSE;F;15;$18,300;1;Sports Car;no;$0;0;No;0;$6,077;11;1
